material_id,cif_file,formula,formation_energy_per_atom,energy_above_hull,band_gap,density,volume,target
mp-1183120,mp-1183120.cif,Ac2CuRu,-0.016838317499995002,0.0030135806250080003,0.0,9.971867965777491,103.01340117510605,-0.016838317499995002
mp-862683,mp-862683.cif,Ac2GaCu,-0.287378448749997,0.015807976562498,0.0,8.414438900311154,115.89401606648477,-0.287378448749997
mp-867241,mp-867241.cif,Ac2GePd,-0.665207049999995,0.0,0.0,9.154250739096147,114.83417829186412,-0.665207049999995
mp-861872,mp-861872.cif,Ac2HgGe,-0.583250138125002,0.0,0.0,9.670946624304037,124.86821324902324,-0.583250138125002
mp-1183377,mp-1183377.cif,Ac2InGa,-0.5060674862499961,0.0,0.0,8.116507450125557,130.63775061395748,-0.5060674862499961
mp-865951,mp-865951.cif,Ac2IrAu,-0.695376886249995,0.0,0.0,12.810759614228811,109.29400744391403,-0.695376886249995
mp-866107,mp-866107.cif,Ac2IrPd,-0.6663974312499971,0.0,0.0,11.92706591012911,104.7854644961122,-0.6663974312499971
mp-1183093,mp-1183093.cif,Ac2IrRh,-0.534733513749998,0.0,0.0,12.266179147529508,101.41276773783284,-0.534733513749998
mp-1183085,mp-1183085.cif,Ac2Mg,-0.006879308333334001,0.033049974166663006,0.0,6.748691045089812,235.37724069558234,-0.006879308333334001
mp-1183089,mp-1183089.cif,Ac2Mg,-0.01975081833334,0.020178464166657,0.0,6.781411421394513,234.24154321160074,-0.01975081833334
mp-985286,mp-985286.cif,Ac2Mg,-0.006998733333333,0.032930549166664005,0.0,6.791641239563196,116.94436002058241,-0.006998733333333
mp-1183074,mp-1183074.cif,Ac2MgGa,-0.228840256874998,0.0,0.0,7.055287093922438,128.9843902134862,-0.228840256874998
mp-1183073,mp-1183073.cif,Ac2TlIn,-0.513242463749996,0.0,0.0,9.190531921704455,139.7014858262732,-0.513242463749996
mp-1183070,mp-1183070.cif,Ac2TlSn,-0.570140636250002,0.0,0.0,9.27724218323011,139.09238947924393,-0.570140636250002
mp-1183077,mp-1183077.cif,Ac2YbMg,0.024890391249996,0.06904487218749701,0.0,7.558103070241818,143.10254944697016,0.024890391249996
mp-1183066,mp-1183066.cif,Ac2ZnAu,-0.542450432499997,0.008908270597764001,0.0,10.020648392119732,118.71184100399978,-0.542450432499997
mp-865535,mp-865535.cif,Ac2ZnGa,-0.37824771749999503,0.004478638281256,0.0,8.1531421580633,119.98769093173414,-0.37824771749999503
mp-866018,mp-866018.cif,Ac2ZnGe,-0.457048125,0.0,0.0,8.337439913110764,117.91635131252818,-0.457048125
mp-1183067,mp-1183067.cif,Ac2ZnHg,-0.384465556874999,0.0,0.0,9.50263321664783,125.81633323680897,-0.384465556874999
mp-1183106,mp-1183106.cif,Ac2ZnIn,-0.385861482499997,0.0,0.0,8.061589177263507,130.63909453024385,-0.385861482499997
mp-865398,mp-865398.cif,Ac2ZnIr,-0.41411323499999503,0.029086866796873,0.0,10.920979008880119,108.20300751859664,-0.41411323499999503
mp-1183090,mp-1183090.cif,Ac3Cd,-0.07830334427082801,0.068330164166667,0.0,8.513907951860771,154.74561961669158,-0.07830334427082801
mp-1183100,mp-1183100.cif,Ac3Cd,-0.081378241770828,0.065255266666667,0.0,8.465940021118719,311.2448134722492,-0.081378241770828
mp-1183081,mp-1183081.cif,Ac3Dy,0.06687583312499601,0.06687583312499601,0.0,8.42104366462826,166.32911055436634,0.06687583312499601
mp-10018,mp-10018.cif,Ac,0.0216390625,0.0216390625,0.0,8.157868481081163,46.205987384126566,0.0216390625
mp-1183057,mp-1183057.cif,Ac,0.015585797500004002,0.015585797500008,0.0,8.313273945401516,136.02668597010646,0.015585797500004002
mp-1183069,mp-1183069.cif,Ac,0.011821722500002001,0.011821722500002001,0.0,8.144760170385736,138.84105617575773,0.011821722500002001
mp-862690,mp-862690.cif,Ac,0.0,0.0,0.0,8.17018178829182,184.54540076862065,0.0
mp-861724,mp-861724.cif,Ac2AgIr,-0.413285237500005,0.08711758447916601,0.0,11.36726437762304,110.1573687869758,-0.413285237500005
mp-1183076,mp-1183076.cif,Ac2AgPb,-0.48027804250000306,0.0,0.0,9.490475602624924,134.56309719889316,-0.48027804250000306
mp-1183068,mp-1183068.cif,Ac2CdGa,-0.40283124874999704,0.027136786875004003,0.0,8.243209586617187,128.14491097102075,-0.40283124874999704
mp-1183063,mp-1183063.cif,Ac2CdGe,-0.46480851375000004,0.05905399421875,0.0,8.44954191431781,125.58895639675303,-0.46480851375000004
mp-1183086,mp-1183086.cif,Ac2CdHg,-0.43368235062500504,0.0,0.0,9.570976516145288,133.07264127884656,-0.43368235062500504
mp-862319,mp-862319.cif,Ac2CdSn,-0.5426539487500001,0.07460025710229701,0.0,8.37029263624578,135.91761187913772,-0.5426539487500001
mp-862786,mp-862786.cif,Ac2CuGe,-0.386251328749999,0.0,0.0,8.59830517904435,113.97907949916606,-0.386251328749999
mp-861883,mp-861883.cif,Ac2CuIr,-0.342298746250001,0.0,0.0,11.322189909338377,104.09551499883716,-0.342298746250001
mp-1183078,mp-1183078.cif,Ac2MgPb,-0.26746134000000005,0.0,0.0,8.045456041810434,141.4845630793459,-0.26746134000000005
mp-866103,mp-866103.cif,Ac2MgSn,-0.344917513749998,0.0,0.0,7.178167068725801,138.1086176115119,-0.344917513749998
mp-1183079,mp-1183079.cif,Ac2MgTl,-0.19924529333333202,0.0,0.0,8.085059245187924,140.21302232701095,-0.19924529333333202
mp-862849,mp-862849.cif,Ac2NiIr,-0.324698736250006,0.0,0.0,11.66664295683749,100.33145455665266,-0.324698736250006
mp-11107,mp-11107.cif,Ac2O3,-3.737668289999997,0.0,3.522599999999999,9.109129867325775,91.51122386046316,-3.737668289999997
mp-32800,mp-32800.cif,Ac2S3,-2.4930635934375,0.0,2.2962,6.535149338291522,1118.407852007047,-2.4930635934375
mp-977351,mp-977351.cif,Ac2S3,-2.440363970687502,0.052699622749997004,3.0275,5.562970721400395,328.4648931310559,-2.440363970687502
mp-862698,mp-862698.cif,Ac2SiAu,-0.6415023025000011,0.087466920961524,0.0,9.576407649547766,117.7469182698491,-0.6415023025000011
mp-983586,mp-983586.cif,Ac2SiHg,-0.461455381875005,0.05358062644442801,0.0,9.212666158817267,123.04899776225282,-0.461455381875005
mp-865855,mp-865855.cif,Ac2SiPd,-0.6024802275000021,0.0,0.0,8.61022870876441,113.49714470002762,-0.6024802275000021
mp-864795,mp-864795.cif,Ac2SnHg,-0.645805788125002,0.037804611590921,0.0,9.533838808198968,134.68812364411662,-0.645805788125002
mp-1183072,mp-1183072.cif,Ac2TlCd,-0.40701238124999806,0.0,0.0,9.256491185955248,138.27421446742449,-0.40701238124999806
mp-1183103,mp-1183103.cif,Ac3Dy,0.068457499374993,0.068457499374993,0.0,8.37612839422867,334.4420325844545,0.068457499374993
mp-1183091,mp-1183091.cif,Ac3Er,0.07069343312500101,0.07069343312500101,0.0,8.452892521981868,166.63730248930176,0.07069343312500101
mp-985294,mp-985294.cif,Ac3Er,0.071818423125002,0.071818423125002,0.0,8.506502535172002,331.17422871997485,0.071818423125002
mp-1183271,mp-1183271.cif,Ac3Eu,0.015198531874999002,0.015198531874999002,0.0,7.426651227319795,372.4880085881115,0.015198531874999002
mp-985291,mp-985291.cif,Ac3Hg,-0.09135691416666701,0.067722800416667,0.0,9.631634945915158,303.98050672482145,-0.09135691416666701
mp-1183111,mp-1183111.cif,Ac3Ho,0.070545855624999,0.070545855624999,0.0,8.355102594529876,336.2496936665033,0.070545855624999
mp-985305,mp-985305.cif,Ac3In,-0.25022404062499903,0.0,0.0,8.547052742837637,309.22633068126885,-0.25022404062499903
mp-1183095,mp-1183095.cif,Ac3La,0.032081053125004005,0.032081053125004005,0.0,7.728659383101937,176.16057279362144,0.032081053125004005
mp-985540,mp-985540.cif,Ac3La,0.024142175625001,0.024142175625001,0.0,7.51037614881384,362.5610853243514,0.024142175625001
mp-1183087,mp-1183087.cif,Ac3Lu,0.074352725625004,0.074352725625004,0.0,8.679980294323821,163.75228917856984,0.074352725625004
mp-1183123,mp-1183123.cif,Ac3Lu,0.07531392812500501,0.07531392812500501,0.0,8.51176277571563,333.977034058236,0.07531392812500501
mp-985554,mp-985554.cif,Ac3Nd,0.018526088750000003,0.018526088750000003,0.0,7.815555595730561,350.671571231021,0.018526088750000003
mp-1183109,mp-1183109.cif,Ac3Pm,0.036769143749999005,0.036769143749999005,0.0,7.918351771582973,346.43706381773933,0.036769143749999005
mp-985302,mp-985302.cif,Ac3Pr,0.017800280208334,0.017800280208334,0.0,7.725182243542989,353.3404698907035,0.017800280208334
mp-1183122,mp-1183122.cif,Ac3Si,-0.274677942187501,0.081147285,0.0,8.528232203376154,276.1332351723397,-0.274677942187501
mp-985547,mp-985547.cif,Ac3Sm,0.039172998124996,0.039172998124996,0.0,8.011382091335042,344.63610464958464,0.039172998124996
mp-1183099,mp-1183099.cif,Ac3Tb,0.065176126875002,0.065176126875002,0.0,8.286315100881167,336.63427946503333,0.065176126875002
mp-985506,mp-985506.cif,Ac3Tl,-0.16381396812499802,0.0,0.0,9.509015509482957,309.2251888955367,-0.16381396812499802
mp-1183084,mp-1183084.cif,Ac3Tm,0.07230794895833201,0.07230794895833201,0.0,8.621865772366718,163.69414660434805,0.07230794895833201
mp-1183098,mp-1183098.cif,Ac3Tm,0.073466870208335,0.073466870208335,0.0,8.487668620293496,332.5645764186314,0.073466870208335
mp-1183083,mp-1183083.cif,Ac3Y,0.058625999375003006,0.058625999375003006,0.0,7.532052286652469,169.73577623650237,0.058625999375003006
mp-1183102,mp-1183102.cif,Ac3Y,0.047490509375002,0.047490509375002,0.0,7.470095319326484,342.2871293814086,0.047490509375002
mp-1183059,mp-1183059.cif,Ac3Yb,0.052333960624999,0.052333960624999,0.0,8.591634155022035,165.06368391048264,0.052333960624999
mp-1183088,mp-1183088.cif,Ac3Yb,0.067072545625002,0.067072545625002,0.0,8.597257610253811,164.95571596547705,0.067072545625002
mp-972002,mp-972002.cif,Ac3Yb,0.050884636875004004,0.050884636875004004,0.0,8.462879578152032,335.1499383496455,0.050884636875004004
mp-866199,mp-866199.cif,AcAg,-0.27115698125000104,0.0,0.0,9.03733750389757,61.529374998134905,-0.27115698125000104
mp-867338,mp-867338.cif,AcCdAg2,-0.21414207437499702,0.050266774166651006,0.0,9.14743964790949,100.77617135545579,-0.21414207437499702
mp-1183071,mp-1183071.cif,AcCdAu2,-0.665137496874997,0.014088140833365001,0.0,12.220222363644247,99.65011717249568,-0.665137496874997
mp-864644,mp-864644.cif,AcCdHg2,-0.46622083812499604,0.0,0.0,11.292803173766657,108.89947065837096,-0.46622083812499604
